elapsed_sec,step,loss,l1,dssim,ssim,ssim_weight,opacity_reg,size_reg,sigma_reg,sigma_mean,sigma_min,sigma_max,depth_min,depth_mean,depth_max,num_triangles,active_fraction,active_x0,active_x1,active_width,active_triangles,step_time_sec
22.133225,1,0.38660655,0.38650047,0.00000000,0.00000000,0.00000000,0.10560001,0.00459756,0.00000000,1.15986335,1.15985227,1.16014755,0.00101279,0.49096930,0.99942034,608,1.00000000,0,512,512,608,16.04522681
652.101169,25,0.17602303,0.17593426,0.00000000,0.00000000,0.00000000,0.08707128,0.01699218,0.00001282,1.15650260,1.15608215,1.16339719,0.00101279,0.49096930,0.99942034,608,0.89528701,54,512,458,549,29.56573009
1408.875634,50,0.08934190,0.08926523,0.00000000,0.00000000,0.00000000,0.07373327,0.02922767,0.00004375,1.15396321,1.15196228,1.16519785,0.00101279,0.49096930,0.99942034,608,0.79878187,103,512,409,490,32.93920207
1995.301064,75,0.06208332,0.06201412,0.00000000,0.00000000,0.00000000,0.06552248,0.03668929,0.00007775,1.15232766,1.14746213,1.16341400,0.00101279,0.49096930,0.99942034,608,0.71361638,147,512,365,436,21.50199604
2490.138023,100,0.05319376,0.05312879,0.00000000,0.00000000,0.00000000,0.06090310,0.04052041,0.00011197,1.15113103,1.14234364,1.16201854,0.00101279,0.49096930,0.99942034,608,0.63845811,185,512,327,389,13.15540218
2955.236805,125,0.04804207,0.04798018,0.00000000,0.00000000,0.00000000,0.05753310,0.04340390,0.00015303,1.15007102,1.13528657,1.16201258,0.00101279,0.49096930,0.99942034,608,0.57213116,219,512,293,347,13.09500146
3283.667811,150,0.04558250,0.04552362,0.00000000,0.00000000,0.00000000,0.05417318,0.04681138,0.00020108,1.14883041,1.12863362,1.16333747,0.00101279,0.49986282,0.99942034,683,0.51359783,249,512,263,386,13.46335435
3597.555235,175,0.04408123,0.04402236,0.00000000,0.00000000,0.00000000,0.05426723,0.04577776,0.00026595,1.14777946,1.12571311,1.16651988,0.00101279,0.49986282,0.99942034,683,0.46194236,275,512,237,355,14.56555724
3971.070004,200,0.03826010,0.03820359,0.00000000,0.00000000,0.00000000,0.05136658,0.05115073,0.00034467,1.14678526,1.12347460,1.16882753,0.00101279,0.49986282,0.99942034,683,0.41635656,299,512,213,318,14.68495893
4350.067528,225,0.03577410,0.03572069,0.00000000,0.00000000,0.00000000,0.04781359,0.05545247,0.00043570,1.14583814,1.12219763,1.16766465,0.00101279,0.49986282,0.99942034,683,0.37612723,319,512,193,292,14.84310675
4724.475284,250,0.03381132,0.03376165,0.00000000,0.00000000,0.00000000,0.04354188,0.06067974,0.00054582,1.14494801,1.12143159,1.16865408,0.00101279,0.49986282,0.99942034,683,0.34062497,338,512,174,258,14.73160172
5096.600783,275,0.03154867,0.03150366,0.00000000,0.00000000,0.00000000,0.03848521,0.06455016,0.00068112,1.14409995,1.11835992,1.16893864,0.00101279,0.49986282,0.99942034,683,0.30929434,354,512,158,232,14.69499326
5467.997524,300,0.03014597,0.03010405,0.00000000,0.00000000,0.00000000,0.03515593,0.06684393,0.00082347,1.14285314,1.11537969,1.16895854,0.00101279,0.52231675,0.99942034,767,0.28164516,368,512,144,291,14.99107742
5809.161258,325,0.03108200,0.03103006,0.00000000,0.00000000,0.00000000,0.04692564,0.04934653,0.00084605,1.14240360,1.11266613,1.16895854,0.00101279,0.52231675,0.99942034,767,0.25724484,380,512,132,269,13.44320679
6207.806013,350,0.02756170,0.02751289,0.00000000,0.00000000,0.00000000,0.04370065,0.05011990,0.00096539,1.14182937,1.11005557,1.16895854,0.00101279,0.52231675,0.99942034,767,0.23571163,391,512,121,249,17.02239060
6618.340909,375,0.02562463,0.02557879,0.00000000,0.00000000,0.00000000,0.04077139,0.04959242,0.00108023,1.14127898,1.10769618,1.16895854,0.00101279,0.52231675,0.99942034,767,0.21670864,401,512,111,240,16.44724035
6990.936515,400,0.02518661,0.02514291,0.00000000,0.00000000,0.00000000,0.03853691,0.05036087,0.00118961,1.14075291,1.10521221,1.16895854,0.00101279,0.52231675,0.99942034,767,0.19993856,410,512,102,221,13.58198071
7402.484767,425,0.02425058,0.02420892,0.00000000,0.00000000,0.00000000,0.03587699,0.05639984,0.00134104,1.14024365,1.10329854,1.16895854,0.00101279,0.52231675,0.99942034,767,0.18513902,417,512,95,199,16.69743681
7807.420341,450,0.02282376,0.02278556,0.00000000,0.00000000,0.00000000,0.03182245,0.06225009,0.00156352,1.13951135,1.10232031,1.16905189,0.00101279,0.54207438,0.99942034,860,0.17207847,424,512,88,264,16.73606658
8191.899353,475,0.02313921,0.02309039,0.00000000,0.00000000,0.00000000,0.04416398,0.04509008,0.00140793,1.13929236,1.09993172,1.17142689,0.00101279,0.54207438,0.99942034,860,0.16055258,430,512,82,242,15.46492362
8652.392570,500,0.02051770,0.02047227,0.00000000,0.00000000,0.00000000,0.04071103,0.04565274,0.00151191,1.13897383,1.09754908,1.17375016,0.00101279,0.54207438,0.99942034,860,0.15038101,435,512,77,226,18.50475836
9114.922349,525,0.01950227,0.01946024,0.00000000,0.00000000,0.00000000,0.03733496,0.04534874,0.00162120,1.13861442,1.09523928,1.17408538,0.00101279,0.54207438,0.99942034,860,0.15000000,435,512,77,225,18.54939771
9569.586414,550,0.01866696,0.01862778,0.00000000,0.00000000,0.00000000,0.03447269,0.04537831,0.00174772,1.13824904,1.09307683,1.17410171,0.00101279,0.54207438,0.99942034,860,0.15000000,435,512,77,225,18.48432541
10032.690096,575,0.01818815,0.01815150,0.00000000,0.00000000,0.00000000,0.03191671,0.04551198,0.00188312,1.13787520,1.09109306,1.17408872,0.00101279,0.54207438,0.99942034,860,0.15000000,435,512,77,225,18.53739047
10467.955733,600,0.01786456,0.01782993,0.00000000,0.00000000,0.00000000,0.02982868,0.04597968,0.00202394,1.13706374,1.08920169,1.17407167,0.00101279,0.56709063,0.99942034,965,0.15000000,435,512,77,330,18.86061668
10902.888787,625,0.01816520,0.01811916,0.00000000,0.00000000,0.00000000,0.04272128,0.03136509,0.00176476,1.13696492,1.08715355,1.17359793,0.00101279,0.56709063,0.99942034,965,0.15000000,435,512,77,329,17.89970756
11376.727371,650,0.01752387,0.01748060,0.00000000,0.00000000,0.00000000,0.03994632,0.03134034,0.00184496,1.13675463,1.08517265,1.17313790,0.00101279,0.56709063,0.99942034,965,0.15000000,435,512,77,329,17.31141758
11855.113777,675,0.01706670,0.01702611,0.00000000,0.00000000,0.00000000,0.03728528,0.03112094,0.00192897,1.13648176,1.08323896,1.17311251,0.00101279,0.56709063,0.99942034,965,0.15000000,435,512,77,328,17.11377001
12327.570273,700,0.01661784,0.01658007,0.00000000,0.00000000,0.00000000,0.03453536,0.03036350,0.00202627,1.13615787,1.08135951,1.17391706,0.00101279,0.56709063,0.99942034,965,0.15000000,435,512,77,327,17.07963777
12779.143255,725,0.01643337,0.01639826,0.00000000,0.00000000,0.00000000,0.03185351,0.03045036,0.00213249,1.13583481,1.07952762,1.17400169,0.00101279,0.56709063,0.99942034,965,0.15000000,435,512,77,327,20.66452265
13241.372723,750,0.01624292,0.01621009,0.00000000,0.00000000,0.00000000,0.02954393,0.03064967,0.00224035,1.13530242,1.07775640,1.17400014,0.00101279,0.59920597,0.99942034,1082,0.15000000,435,512,77,444,17.21176076
13729.941332,775,0.01646784,0.01643203,0.00000000,0.00000000,0.00000000,0.03334395,0.02269441,0.00199327,1.13527632,1.07594812,1.17609680,0.00101279,0.59920597,0.99942034,1082,0.15000000,435,512,77,444,19.22293210
14246.068139,800,0.01597922,0.01594607,0.00000000,0.00000000,0.00000000,0.03067825,0.02265081,0.00204368,1.13510883,1.07418597,1.17714643,0.00101279,0.59920597,0.99942034,1082,0.15000000,435,512,77,443,19.32319474
14788.428319,825,0.01560799,0.01557735,0.00000000,0.00000000,0.00000000,0.02816358,0.02262776,0.00210473,1.13489401,1.07250738,1.17722249,0.00101279,0.59920597,0.99942034,1082,0.15000000,435,512,77,442,19.24674964
15333.184145,850,0.01540068,0.01537230,0.00000000,0.00000000,0.00000000,0.02590147,0.02258318,0.00217776,1.13465905,1.07087553,1.17767930,0.00101279,0.59920597,0.99942034,1082,0.15000000,435,512,77,442,23.38664269
15860.919005,875,0.01521196,0.01518551,0.00000000,0.00000000,0.00000000,0.02395376,0.02264209,0.00225538,1.13440931,1.06930196,1.17784286,0.00101279,0.59920597,0.99942034,1082,0.15000000,435,512,77,442,23.39476085
16398.111669,900,0.01499635,0.01497164,0.00000000,0.00000000,0.00000000,0.02221497,0.02268840,0.00233473,1.13286805,1.06788611,1.17758763,0.00101279,0.62972695,0.99942034,1214,0.15000000,435,512,77,572,19.31690693
16942.482905,925,0.01576137,0.01573484,0.00000000,0.00000000,0.00000000,0.02457493,0.01732716,0.00223029,1.13284814,1.06635952,1.18027878,0.00101279,0.62972695,0.99942034,1214,0.15000000,435,512,77,569,21.80170774
17488.634644,950,0.01504978,0.01502510,0.00000000,0.00000000,0.00000000,0.02271173,0.01742874,0.00228057,1.13271320,1.06478667,1.18269646,0.00101279,0.62972695,0.99942034,1214,0.15000000,435,512,77,569,21.53393197
18084.293408,975,0.01470417,0.01468105,0.00000000,0.00000000,0.00000000,0.02115012,0.01743810,0.00233764,1.13254738,1.06322098,1.18338847,0.00101279,0.62972695,0.99942034,1214,0.15000000,435,512,77,569,21.69334030
18679.969239,1000,0.01450174,0.01447999,0.00000000,0.00000000,0.00000000,0.01975744,0.01747908,0.00239655,1.13236260,1.06172609,1.18416262,0.00101279,0.62972695,0.99942034,1214,0.15000000,435,512,77,569,21.41467023
19275.615166,1025,0.01424491,0.01422432,0.00000000,0.00000000,0.00000000,0.01859556,0.01749642,0.00245714,1.13217437,1.06028700,1.18481994,0.00101279,0.62972695,0.99942034,1214,0.15000000,435,512,77,569,26.16432238
19880.162512,1050,0.01403765,0.01401809,0.00000000,0.00000000,0.00000000,0.01756336,0.01746822,0.00252065,1.13197911,1.05891883,1.18545318,0.00101279,0.62972695,0.99942034,1214,0.15000000,435,512,77,569,26.06455660
20462.570136,1075,0.01392398,0.01390532,0.00000000,0.00000000,0.00000000,0.01666005,0.01742989,0.00258541,1.13177848,1.05758107,1.18513274,0.00101279,0.62972695,0.99942034,1214,0.15000000,435,512,77,569,22.24173117
21028.123376,1100,0.01382217,0.01380429,0.00000000,0.00000000,0.00000000,0.01587941,0.01742995,0.00265210,1.13156879,1.05630159,1.18493342,0.00101279,0.62972695,0.99942034,1214,0.15000000,435,512,77,569,21.70627189
21596.627634,1125,0.01373092,0.01371374,0.00000000,0.00000000,0.00000000,0.01515399,0.01748378,0.00271987,1.13135505,1.05506396,1.18492031,0.00101279,0.62972695,0.99942034,1214,0.15000000,435,512,77,569,21.66671848
22186.079879,1150,0.01364046,0.01362394,0.00000000,0.00000000,0.00000000,0.01448398,0.01758134,0.00277573,1.13114643,1.05385053,1.18479526,0.00101279,0.62972695,0.99942034,1214,0.15000000,435,512,77,568,22.06415439
22768.291751,1175,0.01357533,0.01355938,0.00000000,0.00000000,0.00000000,0.01389451,0.01771640,0.00284148,1.13094604,1.05267942,1.18443477,0.00101279,0.62972695,0.99942034,1214,0.15000000,435,512,77,568,21.49386811
23339.528027,1200,0.01352305,0.01350758,0.00000000,0.00000000,0.00000000,0.01340082,0.01783774,0.00290712,1.13075340,1.05154419,1.18537498,0.00101279,0.62972695,0.99942034,1214,0.15000000,435,512,77,568,21.71378970
23891.216419,1225,0.01356987,0.01353376,0.02754775,0.94490450,0.00150000,0.01299648,0.01794552,0.00297164,1.13057435,1.05044711,1.18716800,0.00101279,0.62972695,0.99942034,1214,0.15000000,435,512,77,568,21.47737885
24437.771366,1250,0.01394278,0.01388482,0.02827396,0.94345207,0.00300000,0.01269412,0.01799469,0.00302349,1.13040507,1.04933012,1.18862844,0.00101279,0.62972695,0.99942034,1214,0.15000000,435,512,77,567,21.47856784
24982.061327,1275,0.01563980,0.01554121,0.03424764,0.93150471,0.00450000,0.01229257,0.01806221,0.00308456,1.13023472,1.04823840,1.18996334,0.00101279,0.62972695,0.99942034,1214,0.15000000,435,512,77,567,21.55741048
25538.272636,1300,0.01870172,0.01855001,0.04150563,0.91698875,0.00600000,0.01192743,0.01734811,0.00311625,1.13008130,1.04718924,1.19108486,0.00101279,0.62972695,0.99942034,1214,0.15000000,435,512,77,565,22.34658289
